rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period
1,10797460,K00752.01,Kepler-227 b,CONFIRMED,CANDIDATE,1,0,0,0,0,9.48803557
2,10797460,K00752.02,Kepler-227 c,CONFIRMED,CANDIDATE,0.969,0,0,0,0,54.4183827
3,10811496,K00753.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,19.89913995
4,10848459,K00754.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,1.736952453
5,10854555,K00755.01,Kepler-664 b,CONFIRMED,CANDIDATE,1,0,0,0,0,2.525591777
6,10872983,K00756.01,Kepler-228 d,CONFIRMED,CANDIDATE,1,0,0,0,0,11.09432054
7,10872983,K00756.02,Kepler-228 c,CONFIRMED,CANDIDATE,1,0,0,0,0,4.13443512
8,10872983,K00756.03,Kepler-228 b,CONFIRMED,CANDIDATE,0.992,0,0,0,0,2.56658897
9,6721123,K00114.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,7.36178958
10,10910878,K00757.01,Kepler-229 c,CONFIRMED,CANDIDATE,1,0,0,0,0,16.06864674
11,11446443,K00001.01,Kepler-1 b,CONFIRMED,CANDIDATE,0.811,0,0,0,0,2.470613377
12,10666592,K00002.01,Kepler-2 b,CONFIRMED,CANDIDATE,1,0,1,0,0,2.204735417
13,6922244,K00010.01,Kepler-8 b,CONFIRMED,CANDIDATE,0.998,0,0,0,0,3.522498429
14,10984090,K00112.02,Kepler-466 c,CONFIRMED,CANDIDATE,1,0,0,0,0,3.709214104
15,10419211,K00742.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,11.52144606
16,10464078,K00743.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,19.40393776
17,10480982,K00744.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,19.22138894
18,10485250,K00745.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,16.46983774
19,10526549,K00746.01,Kepler-660 b,CONFIRMED,CANDIDATE,1,0,0,0,0,9.27358173
20,10583066,K00747.01,Kepler-661 b,CONFIRMED,CANDIDATE,1,0,0,0,0,6.02930329
21,10583180,K00748.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,2.696370652
22,10601284,K00749.01,Kepler-226 c,CONFIRMED,CANDIDATE,1,0,0,0,0,5.349553819
23,10601284,K00749.02,Kepler-226 b,CONFIRMED,CANDIDATE,0.98,0,0,0,0,3.94105221
24,10601284,K00749.03,Kepler-226 d,CONFIRMED,CANDIDATE,0.971,0,0,0,0,8.10904807
25,2306756,K00113.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,386.6030528
26,10662202,K00750.01,Kepler-662 b,CONFIRMED,CANDIDATE,1,0,0,0,0,21.67699193
27,10682541,K00751.01,Kepler-663 b,CONFIRMED,CANDIDATE,1,0,0,0,0,4.99677968
28,11460018,K00769.01,Kepler-671 b,CONFIRMED,CANDIDATE,1,0,0,0,0,4.280963604
29,11463211,K00770.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,0,1.50635409
30,11465813,K00771.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0,670.645531
31,11493732,K00772.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,61.2563628
32,11507101,K00773.01,Kepler-672 b,CONFIRMED,CANDIDATE,1,0,0,0,0,38.3775486
33,10910878,K00757.02,Kepler-229 d,CONFIRMED,CANDIDATE,0.992,0,0,0,0,41.19725502
34,10910878,K00757.03,Kepler-229 b,CONFIRMED,CANDIDATE,1,0,0,0,0,6.252962249
35,10987985,K00758.01,Kepler-665 b,CONFIRMED,CANDIDATE,1,0,0,0,0,16.01308419
36,11018648,K00759.01,Kepler-230 b,CONFIRMED,CANDIDATE,1,0,0,0,0,32.62876672
37,11018648,K00759.02,Kepler-230 c,CONFIRMED,CANDIDATE,0.978,0,0,0,0,91.7732862
38,11138155,K00760.01,,CANDIDATE,CANDIDATE,1,0,0,0,0,4.959319244
39,11152159,K00761.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,2.701287801
40,11153539,K00762.01,Kepler-666 b,CONFIRMED,CANDIDATE,1,0,0,0,0,4.49876511
41,11242721,K00763.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,19.65120951
42,9579641,K00115.01,Kepler-105 b,CONFIRMED,CANDIDATE,1,0,0,0,0,5.412203927
43,11304958,K00764.01,Kepler-667 b,CONFIRMED,CANDIDATE,0.998,0,0,0,0,41.43958662
44,11391957,K00765.01,Kepler-668 b,CONFIRMED,CANDIDATE,1,0,0,0,0,8.35389523
45,11403044,K00766.01,Kepler-669 b,CONFIRMED,CANDIDATE,1,0,0,0,0,4.125543472
46,11414511,K00767.01,Kepler-670 b,CONFIRMED,CANDIDATE,1,0,0,0,0,2.816504904
47,11442465,K00768.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,33.93373447
48,12110942,K00786.01,Kepler-680 b,CONFIRMED,CANDIDATE,1,0,0,0,0,3.689920099
49,12366084,K00787.01,Kepler-232 b,CONFIRMED,CANDIDATE,1,0,0,0,0,4.431238488
50,12366084,K00787.02,Kepler-232 c,CONFIRMED,CANDIDATE,1,0,0,0,0,11.37936986
51,12404086,K00788.01,Kepler-681 b,CONFIRMED,CANDIDATE,1,0,0,0,0,26.39432897
52,8395660,K00116.01,Kepler-106 c,CONFIRMED,CANDIDATE,1,0,0,0,0,13.57078281
53,9579641,K00115.02,Kepler-105 c,CONFIRMED,CANDIDATE,1,0,0,0,0,7.12594387
54,11656840,K00774.01,,FALSE POSITIVE,FALSE POSITIVE,0.014,0,1,0,0,7.442652004
55,11754553,K00775.01,Kepler-52 c,CONFIRMED,CANDIDATE,1,0,0,0,0,16.38489988
56,11754553,K00775.02,Kepler-52 b,CONFIRMED,CANDIDATE,1,0,0,0,0,7.8774163
57,11754553,K00775.03,Kepler-52 d,CONFIRMED,CANDIDATE,1,0,0,0,0,36.4454001
58,11812062,K00776.01,Kepler-673 b,CONFIRMED,CANDIDATE,1,0,0,0,0,3.728732147
59,11818800,K00777.01,,CANDIDATE,CANDIDATE,0.999,0,0,0,0,40.4195037
60,11853255,K00778.01,Kepler-674 b,CONFIRMED,CANDIDATE,1,0,0,0,0,2.243380573
61,11909839,K00779.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,10.40599802
62,11918099,K00780.01,Kepler-675 b,CONFIRMED,CANDIDATE,1,0,0,0,0,2.337437946
63,11918099,K00780.02,,CANDIDATE,CANDIDATE,0.993,0,0,0,0,7.2406612
64,9579641,K00115.03,,CANDIDATE,CANDIDATE,0.871,0,0,0,0,3.43591631
65,11923270,K00781.01,Kepler-676 b,CONFIRMED,CANDIDATE,1,0,0,0,0,11.59822233
66,11960862,K00782.01,Kepler-677 b,CONFIRMED,CANDIDATE,1,0,0,0,0,6.575315881
67,12020329,K00783.01,Kepler-678 b,CONFIRMED,CANDIDATE,1,0,0,0,0,7.275040844
68,12066335,K00784.01,Kepler-231 c,CONFIRMED,CANDIDATE,1,0,0,0,0,19.27153892
69,12066335,K00784.02,Kepler-231 b,CONFIRMED,CANDIDATE,1,0,0,0,0,10.06524317
70,12070811,K00785.01,Kepler-679 b,CONFIRMED,CANDIDATE,1,0,0,0,0,12.3935651
71,8395660,K00116.02,Kepler-106 e,CONFIRMED,CANDIDATE,0.998,0,0,0,0,43.84439721
72,3120431,K00798.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,3.341913228
73,3246984,K00799.01,,CANDIDATE,CANDIDATE,0.773,0,0,0,0,1.626630225
74,3342970,K00800.01,Kepler-234 b,CONFIRMED,CANDIDATE,1,0,0,0,0,2.711504086
75,3342970,K00800.02,Kepler-234 c,CONFIRMED,CANDIDATE,1,0,0,0,0,7.21203748
76,12459725,K00789.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,0,1,14.1798187
77,12470844,K00790.01,Kepler-233 b,CONFIRMED,CANDIDATE,1,0,0,0,0,8.47237911
78,12470844,K00790.02,Kepler-233 c,CONFIRMED,CANDIDATE,0.989,0,0,0,0,60.4189369
79,12644822,K00791.01,Kepler-682 b,CONFIRMED,CANDIDATE,1,0,0,0,0,12.61190435
80,2440757,K00792.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,1.433769925
81,2445129,K00793.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,10.31872301
82,2713049,K00794.01,Kepler-683 b,CONFIRMED,CANDIDATE,1,0,0,0,0,2.539183147
83,3114167,K00795.01,Kepler-684 b,CONFIRMED,CANDIDATE,1,0,0,0,0,6.770300385
84,3114661,K00796.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,0.444291966
85,3115833,K00797.01,,CANDIDATE,CANDIDATE,1,0,0,0,0,10.181584
86,4139816,K00812.02,Kepler-235 d,CONFIRMED,CANDIDATE,1,0,0,0,0,20.06036336
87,4139816,K00812.03,Kepler-235 e,CONFIRMED,CANDIDATE,1,0,0,0,0,46.1842039
88,8395660,K00116.04,Kepler-106 d,CONFIRMED,CANDIDATE,0.952,0,0,0,0,23.9800854
89,4139816,K00812.04,Kepler-235 c,CONFIRMED,CANDIDATE,0.994,0,0,0,0,7.82502168
90,4275191,K00813.01,Kepler-688 b,CONFIRMED,CANDIDATE,1,0,0,0,0,3.895936525
91,4476123,K00814.01,Kepler-689 b,CONFIRMED,CANDIDATE,0.999,0,0,0,0,22.36646466
92,3351888,K00801.01,Kepler-685 b,CONFIRMED,CANDIDATE,1,0,0,0,0,1.625522174
93,3453214,K00802.01,,CANDIDATE,CANDIDATE,1,0,0,0,0,19.62034692
94,3554600,K00803.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,1,0,7.544039
95,3641726,K00804.01,,CANDIDATE,CANDIDATE,1,0,0,0,0,9.02930689
96,3734868,K00805.01,,FALSE POSITIVE,FALSE POSITIVE,0.053,0,1,0,0,10.32803571
97,3832474,K00806.01,Kepler-30 d,CONFIRMED,CANDIDATE,1,0,0,0,0,143.2063047
98,8395660,K00116.03,Kepler-106 b,CONFIRMED,CANDIDATE,0.95,0,0,0,0,6.164876
99,3832474,K00806.02,Kepler-30 c,CONFIRMED,CANDIDATE,0.745,0,0,0,0,60.32494216
100,3832474,K00806.03,Kepler-30 b,CONFIRMED,CANDIDATE,,0,0,0,0,29.1598615
101,3836375,K00807.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,1,1.540397253
102,3838486,K00808.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,1,2.99025443
103,3935914,K00809.01,Kepler-686 b,CONFIRMED,CANDIDATE,1,0,0,0,0,1.594745374
104,3940418,K00810.01,,CANDIDATE,CANDIDATE,1,0,0,0,0,4.783002698
105,4049131,K00811.01,Kepler-687 b,CONFIRMED,CANDIDATE,1,0,0,0,0,20.50588921
106,4139816,K00812.01,Kepler-235 b,CONFIRMED,CANDIDATE,1,0,0,0,0,3.340218842
107,5287983,K00828.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,2.507089906
108,5358241,K00829.01,Kepler-53 b,CONFIRMED,CANDIDATE,1,0,0,0,0,18.64932728
109,10875245,K00117.02,Kepler-107 c,CONFIRMED,CANDIDATE,1,0,0,0,0,4.90144976
110,5358241,K00829.02,Kepler-53 d,CONFIRMED,CANDIDATE,0.998,0,0,0,0,9.75192101
111,5358241,K00829.03,Kepler-53 c,CONFIRMED,CANDIDATE,1,0,0,0,0,38.5576546
112,5358624,K00830.01,Kepler-428 b,CONFIRMED,CANDIDATE,0.99,0,0,0,0,3.525632539
113,4544670,K00815.01,,CANDIDATE,CANDIDATE,1,0,0,0,0,34.84398644
114,4664847,K00816.01,Kepler-690 b,CONFIRMED,CANDIDATE,1,0,0,0,0,7.748094239
115,4725681,K00817.01,Kepler-236 c,CONFIRMED,CANDIDATE,1,0,0,0,0,23.96793669
116,4913852,K00818.01,Kepler-691 b,CONFIRMED,CANDIDATE,1,0,0,0,0,8.11437482
117,4932348,K00819.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,38.03672948
118,4936180,K00820.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,4.64090031
119,11913073,K00011.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,3.747838198
120,10875245,K00117.01,Kepler-107 e,CONFIRMED,CANDIDATE,0.992,0,0,0,0,14.74914825
121,5021899,K00821.01,Kepler-692 b,CONFIRMED,CANDIDATE,1,0,0,0,0,21.81295996
122,5077629,K00822.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,7.91936937
123,5115978,K00823.01,,CANDIDATE,CANDIDATE,,0,0,0,0,1.028436523
124,5164255,K00824.01,Kepler-693 b,CONFIRMED,CANDIDATE,1,0,0,0,0,15.37562369
125,5252423,K00825.01,Kepler-237 c,CONFIRMED,CANDIDATE,1,0,0,0,0,8.10363271
126,5252423,K00825.02,Kepler-237 b,CONFIRMED,CANDIDATE,1,0,0,0,0,4.71510843
127,5272878,K00826.01,Kepler-694 b,CONFIRMED,CANDIDATE,1,0,0,0,0,6.365839713
128,5283542,K00827.01,,FALSE POSITIVE,FALSE POSITIVE,0.037,0,0,1,0,5.97581754
129,5649215,K00839.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,1,2.446737317
130,5651104,K00840.01,Kepler-695 b,CONFIRMED,CANDIDATE,1,0,0,0,0,3.04033046
131,5792202,K00841.01,Kepler-27 b,CONFIRMED,CANDIDATE,1,0,0,0,0,15.33528675
132,10875245,K00117.04,Kepler-107 d,CONFIRMED,CANDIDATE,0.998,0,0,0,0,7.95825328
133,5792202,K00841.02,Kepler-27 c,CONFIRMED,CANDIDATE,1,0,0,0,0,31.33046135
134,5370302,K00831.01,,FALSE POSITIVE,FALSE POSITIVE,0.006,0,1,0,0,3.9043425
135,5372966,K00832.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,9.286358079
136,5376067,K00833.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,3.951405455
137,5436502,K00834.01,Kepler-238 e,CONFIRMED,CANDIDATE,0.999,0,0,0,0,23.65369415
138,5436502,K00834.02,Kepler-238 d,CONFIRMED,CANDIDATE,0.996,0,0,0,0,13.23352214
139,5436502,K00834.03,Kepler-238 c,CONFIRMED,CANDIDATE,0.997,0,0,0,0,6.15560285
140,5436502,K00834.04,Kepler-238 b,CONFIRMED,CANDIDATE,1,0,0,0,0,2.090811305
141,10875245,K00117.03,Kepler-107 b,CONFIRMED,CANDIDATE,0.995,0,0,0,0,3.180027898
142,5436502,K00834.05,Kepler-238 f,CONFIRMED,CANDIDATE,0.989,0,0,0,0,50.4467417
143,5456651,K00835.01,Kepler-239 b,CONFIRMED,CANDIDATE,1,0,0,0,0,11.76307164
144,5456651,K00835.02,Kepler-239 c,CONFIRMED,CANDIDATE,0.878,0,0,0,0,56.2279271
145,5481416,K00836.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,2.384052875
146,5531576,K00837.01,Kepler-240 c,CONFIRMED,CANDIDATE,1,0,0,0,0,7.953547
147,5531576,K00837.02,Kepler-240 b,CONFIRMED,CANDIDATE,1,0,0,0,0,4.14451656
148,5534814,K00838.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,4.859386384
149,6291653,K00850.01,Kepler-702 b,CONFIRMED,CANDIDATE,0.999,0,0,0,0,10.52629458
150,6392727,K00851.01,Kepler-703 b,CONFIRMED,CANDIDATE,1,0,0,0,0,4.583520948
151,6422070,K00852.01,Kepler-704 b,CONFIRMED,CANDIDATE,0.876,0,0,0,0,3.76181843
152,6428700,K00853.01,Kepler-242 b,CONFIRMED,CANDIDATE,1,0,0,0,0,8.20396958
153,6428700,K00853.02,Kepler-242 c,CONFIRMED,CANDIDATE,1,0,0,0,0,14.49645186
154,5792202,K00841.03,,CANDIDATE,CANDIDATE,1,0,0,0,0,6.54626149
155,5794379,K00842.01,Kepler-241 b,CONFIRMED,CANDIDATE,1,0,0,0,0,12.71809866
156,5794379,K00842.02,Kepler-241 c,CONFIRMED,CANDIDATE,0.999,0,0,0,0,36.06588163
157,5881688,K00843.01,Kepler-696 b,CONFIRMED,CANDIDATE,1,0,0,0,0,4.190425659
158,6022556,K00844.01,Kepler-697 b,CONFIRMED,CANDIDATE,1,0,0,0,0,3.709870784
159,6032497,K00845.01,Kepler-698 b,CONFIRMED,CANDIDATE,1,0,0,0,0,16.3297527
160,6061119,K00846.01,Kepler-699 b,CONFIRMED,CANDIDATE,0.985,0,0,0,0,27.80756622
161,6191521,K00847.01,Kepler-700 b,CONFIRMED,CANDIDATE,0.942,0,0,0,0,80.8723469
162,6267425,K00848.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,3.166465862
163,3531558,K00118.01,Kepler-467 b,CONFIRMED,CANDIDATE,0.912,0,0,0,0,24.99324319
164,6276477,K00849.01,Kepler-701 b,CONFIRMED,CANDIDATE,1,0,0,0,0,10.35533116
165,6863998,K00867.01,Kepler-709 b,CONFIRMED,CANDIDATE,1,0,0,0,0,16.08518937
166,6867155,K00868.01,,CANDIDATE,CANDIDATE,0.998,0,0,0,0,235.9986399
167,6948054,K00869.01,Kepler-245 b,CONFIRMED,CANDIDATE,1,0,0,0,0,7.49018305
168,6948054,K00869.02,Kepler-245 d,CONFIRMED,CANDIDATE,1,0,0,0,0,36.2761238
169,6948054,K00869.03,Kepler-245 c,CONFIRMED,CANDIDATE,1,0,0,0,0,17.46087931
170,6435936,K00854.01,Kepler-705 b,CONFIRMED,CANDIDATE,0.996,0,0,0,0,56.0560754
171,6522242,K00855.01,Kepler-706 b,CONFIRMED,CANDIDATE,0.974,0,0,0,0,41.40831669
172,6526710,K00856.01,,CANDIDATE,CANDIDATE,0.994,0,0,0,0,39.74893077
173,6587280,K00857.01,Kepler-243 b,CONFIRMED,CANDIDATE,1,0,0,0,0,5.715425977
174,9471974,K00119.01,Kepler-108 b,CONFIRMED,CANDIDATE,0.959,0,0,0,0,49.18394185
175,6587280,K00857.02,Kepler-243 c,CONFIRMED,CANDIDATE,0.994,0,0,0,0,20.0261412
176,6599919,K00858.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,13.61014819
177,6675056,K00859.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,10.44331991
178,6685526,K00861.01,Kepler-707 b,CONFIRMED,CANDIDATE,1,0,0,0,0,2.237489571
179,6756669,K00862.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,5.851520671
180,6784235,K00863.01,Kepler-708 b,CONFIRMED,CANDIDATE,1,0,0,0,0,3.167893418
181,6849310,K00864.01,Kepler-244 b,CONFIRMED,CANDIDATE,1,0,0,0,0,4.311780262
182,6849310,K00864.02,Kepler-244 d,CONFIRMED,CANDIDATE,1,0,0,0,0,20.0504494
183,6849310,K00864.03,Kepler-244 c,CONFIRMED,CANDIDATE,1,0,0,0,0,9.76734503
184,6862328,K00865.01,,CANDIDATE,CANDIDATE,1,0,0,0,0,119.0207044
185,9471974,K00119.02,Kepler-108 c,CONFIRMED,CANDIDATE,0.987,0,0,0,0,190.3200468
186,6862603,K00866.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,2.861159894
187,7366258,K00880.01,Kepler-82 b,CONFIRMED,CANDIDATE,1,0,0,0,0,26.44439337
188,7366258,K00880.02,Kepler-82 c,CONFIRMED,CANDIDATE,0.983,0,0,0,0,51.53997972
189,7366258,K00880.03,Kepler-82 e,CONFIRMED,CANDIDATE,1,0,0,0,0,5.902245782
190,7366258,K00880.04,Kepler-82 d,CONFIRMED,CANDIDATE,1,0,0,0,0,2.382951591
191,7373451,K00881.01,Kepler-712 b,CONFIRMED,CANDIDATE,1,0,0,0,0,21.02250608
192,6948054,K00869.04,Kepler-245 e,CONFIRMED,CANDIDATE,1,0,0,0,0,3.219814777
193,6949607,K00870.01,Kepler-28 b,CONFIRMED,CANDIDATE,1,0,0,0,0,5.912273234
194,6949607,K00870.02,Kepler-28 c,CONFIRMED,CANDIDATE,1,0,0,0,0,8.98581901
195,7031517,K00871.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,12.94066866
196,11869052,K00120.01,,CANDIDATE,CANDIDATE,0.573,0,0,0,0,20.5452375
197,7109675,K00872.01,Kepler-46 b,CONFIRMED,CANDIDATE,1,0,0,0,0,33.60123371
198,7109675,K00872.02,Kepler-46 d,CONFIRMED,CANDIDATE,1,0,0,0,0,6.76652928
199,7118364,K00873.01,Kepler-710 b,CONFIRMED,CANDIDATE,1,0,0,0,0,4.347288783
200,7134976,K00874.01,Kepler-246 b,CONFIRMED,CANDIDATE,1,0,0,0,0,4.601811819
201,7134976,K00874.02,Kepler-246 c,CONFIRMED,CANDIDATE,0.997,0,0,0,0,11.18719905
202,7135852,K00875.01,,CANDIDATE,CANDIDATE,1,0,0,0,0,4.220965778
203,7270230,K00876.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,6.998099523
204,7287995,K00877.01,Kepler-81 b,CONFIRMED,CANDIDATE,1,0,0,0,0,5.95489993
205,7287995,K00877.02,Kepler-81 c,CONFIRMED,CANDIDATE,1,0,0,0,0,12.03987488
206,7287995,K00877.03,Kepler-81 d,CONFIRMED,CANDIDATE,0.998,0,0,0,0,20.83762895
207,3247396,K00121.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,8.8111022
208,7303253,K00878.01,Kepler-711 b,CONFIRMED,CANDIDATE,1,0,0,0,0,23.58917143
209,5094751,K00123.01,Kepler-109 b,CONFIRMED,CANDIDATE,1,0,0,0,0,6.481633073
210,7678434,K00892.01,Kepler-716 b,CONFIRMED,CANDIDATE,1,0,0,0,0,10.37168928
211,7678434,K00892.02,,CANDIDATE,CANDIDATE,1,0,0,0,0,3.96996298
212,7685981,K00893.01,Kepler-717 b,CONFIRMED,CANDIDATE,1,0,0,0,0,4.40841331
213,7708215,K00894.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,7.9426176
214,7373451,K00881.02,Kepler-712 c,CONFIRMED,CANDIDATE,1,0,0,0,0,226.8904775
215,7377033,K00882.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,1.956811408
216,7380537,K00883.01,,CANDIDATE,CANDIDATE,0.997,0,0,0,0,2.688899233
217,7434875,K00884.01,Kepler-247 c,CONFIRMED,CANDIDATE,1,0,0,0,0,9.439459486
218,8349582,K00122.01,Kepler-95 b,CONFIRMED,CANDIDATE,1,0,0,0,0,11.52306746
219,7434875,K00884.02,Kepler-247 d,CONFIRMED,FALSE POSITIVE,0,1,0,0,0,20.47748843
220,7434875,K00884.03,Kepler-247 b,CONFIRMED,CANDIDATE,1,0,0,0,0,3.336123113
221,7455287,K00886.01,Kepler-54 b,CONFIRMED,CANDIDATE,1,0,0,0,0,8.01078456
222,7455287,K00886.02,Kepler-54 c,CONFIRMED,CANDIDATE,1,0,0,0,0,12.07134205
223,7455287,K00886.03,Kepler-54 d,CONFIRMED,CANDIDATE,0.986,0,0,0,0,20.99587872
224,7458762,K00887.01,Kepler-713 b,CONFIRMED,CANDIDATE,1,0,0,0,0,7.41113177
225,7552344,K00888.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,1.000747038
226,757450,K00889.01,Kepler-75 b,CONFIRMED,CANDIDATE,0.999,0,0,0,0,8.884922995
227,7585481,K00890.01,Kepler-714 b,CONFIRMED,CANDIDATE,1,0,0,0,0,8.09888906
228,7663691,K00891.01,Kepler-715 b,CONFIRMED,CANDIDATE,1,0,0,0,0,10.00653012
229,5812701,K00012.01,Kepler-448 b,CONFIRMED,CANDIDATE,0.635,0,0,0,0,17.85522168
230,8013419,K00901.01,,CANDIDATE,CANDIDATE,1,0,0,0,0,12.73262407
231,8018547,K00902.01,,CANDIDATE,CANDIDATE,0.966,0,0,0,0,83.92494032
232,8039892,K00903.01,Kepler-719 b,CONFIRMED,CANDIDATE,1,0,0,0,0,5.007316661
233,8150320,K00904.01,Kepler-55 d,CONFIRMED,CANDIDATE,1,0,0,0,0,2.211116989
234,8150320,K00904.02,Kepler-55 b,CONFIRMED,CANDIDATE,0.997,0,0,0,0,27.9541337
235,11086270,K00124.01,Kepler-110 b,CONFIRMED,FALSE POSITIVE,0.415,0,1,0,0,12.69104387
236,7767559,K00895.01,,FALSE POSITIVE,FALSE POSITIVE,0.228,0,1,0,0,4.409409243
237,7825899,K00896.01,Kepler-248 c,CONFIRMED,CANDIDATE,1,0,0,0,0,16.23947096
238,7825899,K00896.02,Kepler-248 b,CONFIRMED,CANDIDATE,1,0,0,0,0,6.308201629
239,7849854,K00897.01,Kepler-718 b,CONFIRMED,CANDIDATE,1,0,0,0,0,2.052349884
240,7870390,K00898.01,Kepler-83 b,CONFIRMED,CANDIDATE,1,0,0,0,0,9.7704486
241,7870390,K00898.02,Kepler-83 d,CONFIRMED,CANDIDATE,1,0,0,0,0,5.169804269
242,5094751,K00123.02,Kepler-109 c,CONFIRMED,CANDIDATE,1,0,0,0,0,21.22261195
243,7870390,K00898.03,Kepler-83 c,CONFIRMED,CANDIDATE,1,0,0,0,0,20.09017037
244,7907423,K00899.01,Kepler-249 c,CONFIRMED,CANDIDATE,0.999,0,0,0,0,7.11373257
245,7907423,K00899.02,Kepler-249 b,CONFIRMED,CANDIDATE,0.999,0,0,0,0,3.306551643
246,7907423,K00899.03,Kepler-249 d,CONFIRMED,CANDIDATE,0.998,0,0,0,0,15.36845737
247,7938496,K00900.01,,CANDIDATE,CANDIDATE,1,0,0,0,0,13.81020318
248,8490993,K00911.01,Kepler-722 b,CONFIRMED,CANDIDATE,1,0,0,0,0,4.093578461
249,8490993,K00911.02,Kepler-722 c,CONFIRMED,CANDIDATE,0.999,0,0,0,0,105.145959
250,8505670,K00912.01,Kepler-252 c,CONFIRMED,CANDIDATE,1,0,0,0,0,10.8484518
251,8505670,K00912.02,Kepler-252 b,CONFIRMED,CANDIDATE,1,0,0,0,0,6.66833241
252,8544996,K00913.01,Kepler-723 b,CONFIRMED,CANDIDATE,0.997,0,0,0,0,4.082274889
253,8552202,K00914.01,,CANDIDATE,CANDIDATE,1,0,0,0,0,3.886655224
254,8150320,K00904.03,Kepler-55 c,CONFIRMED,CANDIDATE,1,0,0,0,0,42.1406089
255,8150320,K00904.04,Kepler-55 e,CONFIRMED,CANDIDATE,1,0,0,0,0,4.617490562
256,8150320,K00904.05,Kepler-55 f,CONFIRMED,CANDIDATE,0.996,0,0,0,0,10.19849255
257,8180063,K00905.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,5.795063956
258,8226994,K00906.01,Kepler-250 c,CONFIRMED,CANDIDATE,1,0,0,0,0,7.15681552
259,8226994,K00906.02,Kepler-250 d,CONFIRMED,CANDIDATE,1,0,0,0,0,17.64830851
260,8226994,K00906.03,Kepler-250 b,CONFIRMED,CANDIDATE,0.957,0,0,0,0,4.14810719
261,8247638,K00907.01,Kepler-251 c,CONFIRMED,CANDIDATE,1,0,0,0,0,16.51410989
262,8247638,K00907.02,Kepler-251 d,CONFIRMED,CANDIDATE,1,0,0,0,0,30.1329298
263,8247638,K00907.03,Kepler-251 b,CONFIRMED,CANDIDATE,1,0,0,0,0,4.79090809
264,11086270,K00124.02,Kepler-110 c,CONFIRMED,CANDIDATE,1,0,0,0,0,31.71981013
265,8247638,K00907.04,Kepler-251 e,CONFIRMED,CANDIDATE,1,0,0,0,0,99.6415962
